,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
623,Kaybi Matlapeng,"SoMascomclaims everday I use 500mb worth of social bundles in less than a minutewhat are these guys smoking over there... I guess common sense is not so common, Im gone",3,,,
624,Kabo Brian Letsogo,Before ke complainer ke sa itse. BYC Debit ke eng? I heard it's Bank Your Change but I don't get where my money is going.,16,22,Ba dirang ka one in the meantime a sa tswe straight from one account to the next?,
625,Ramoduba Moreri,"Orangetlogelang mokgwanyana wa bogotswana o le nang nao wa gore ere ke subscriber Internet ebe ke e dirisa for a few hours ebe le e kgaola, le dira jaana everyday. Imagine ke subscriber for a week ebe e bereka 2 days not even 24 hours. You are day light crooks. Esale KYC e simolola Orange Botswana is a problem.",10,6,"Orange weee,Orange weee Orange o mmolai nah?Orange wy o sota ka rona",Le nna ba ntirile jalo maloba ke subscribe 1 day wa 18 p e rile after 1 minute ke fa gotwe u have exceeded imagine 2 gb ae orange ya re utswela
626,Kaybi Matlapeng,DearMascom,8,16,,
627,Chedza Mothebe,Mascoma ke batle go bua thata. The is the second time buying data in a space of 2 hours today. Ke rekile data ya 2days. What is going on??,,9,Iam also experiencing that for 2 weeks now. Even incoming calls use my airtime . Mascom!!!!!!,Good day@Chedza Mothebe
628,Kellz Kebopetswe,"Aah bathong ke rekile 5 kg ya braii pack ,moleps mo fours e fa bus rank gc aah waitse ke ja fela coz ga ke bone receipt nkabo ke busitse e nkga sebotswana e taste setlhokwana",27,24,"Nna kana I hate braipack, nkapa ka reka di Russian ka di kgebetelela ka dira soup",Check them
629,France Kele,"Attention;SPAR Mmopane HighwayI think it's high time you work on your prices correctly, this thing of displaying a price on shelf items then by the till it's a different story altogether doesn't sit me well. It's been 3 consecutive times experiencing the same issues of different prices and not all customers pay attention by the till some just pay what is due without checking whether prices match, why are you robbing your customers day light in the name of rewards what what…See more",57,51,"SPAR Mmopane Highway thank you for reaching out after seing the post, I hope you will be vigilant on your prices and put more interest on your customers with care.","Ga o batla go feroga sebete ke kgang eo, oye Hungry Lion...Mcm!."
630,Sharlie December,"Bathong waitseOrangethey a robbing us le gone ka bodipa, I recharged ka 10 pula, gore ke dire 1 day ya all my friends, kante ga e sa thola e fa 5 mins for on calls? I then subscribed for evening on net, jaanong I can't call like goreng Helabathong re bueleng le orange Botswana and never ba responder batho ba ikgaisetsea ke mascom",11,16,"Orange network ke magodu bone,fa o baya airtime o fitlhela e seyo",Orange net work ke maaka fela le yone bonus ga ba e tsenye imagine o recharger ka 20pula
631,Gail Porshy Mokgethi,Let me take this time to appreciate Shorprite Mahalapye for the beautiful cake….such a stunning cake you absolutely nailed itunfortunately we did not get the name of the man who did it,359,46,Am sure ke Keemenao Stex Mphoyakgosii,
632,Agnes Kaetwa,"Re bueleng le ABSA hoo e tseye bank charges on a fixed date. Current account to be precise. Ba re dirisa diphoso tota. Ha o santse o re  date e o kileng wa bona ba tsaya ka yone e hetile jaanong o ka ira jaaka o kgona, o hithela ba nanabetse bosigo ka bo to 11 ba go diretse overdraft.Kana le ba bitse ba te ba re thalosetse gore why ba ira jalo.",14,23,"Nna kea e phuaganya, koore ke santse ke ipotsa gore ke leke magodu ahe.. Kana ke ipoele Standard Chartered",Honestly everyone does as he pleases. One bank I have pay them on the 5th of every month. Right now they took whoever was in my account and last time I  made a query and they denied it. But today rather did the same thing.Banking Association is not doing their job
633,Richard Harriman,,148,26,Tota the apps tsa BW will leave you wanting. People need to up their game bannana ba teng.,Do they ever bother about our complaints?
634,Pony Koko,"Bathong ke kopa thuso koloi sale lekgetho le fela 31 JulyE na le charge ya 500Sale re bota bota ko mogoditshane police, sski police, Zola police, Broadhurst police, molepolole le gwestGate ga gona networkKoore go irwa jang go ntse jaana…See more",5,12,Re mo mathateng a motho wa modimo,"Kgang ya network e ntena tota ka mongwe o kile a re ga rena go tlhola re sokodisiwa ke network waii, go botlhoko waitse"
635,Mnr Tumo Tumza Tsimako,0range Botswana ke magodu fela nowadays.. Airtime bae goga..Data bago kgaola..aaaah nna k lapile,11,7,Eya BTC o tswe koo,"Nna ntse kere kelemog kele 1,ke hela"
636,Eddie Smc,Kante naare Bo Mascom are allowed to Sell our numbers out yaana?nna tota ra lapa,157,71,Bathong ha ele Batanani ene.,Find out if you phone can block spam
637,Candy Lone Julia,BPC  ke rekile motakase on ds day wa  madi aoRe nna re le 3 we use it fr go dira metsi in the morning le eveningOnly 1 Tv geyser ga e berekeNo heaters aoo bathongFridge di 2 ya housemate ke ye nnye mme gompieno gate o hedileU…See more,27,73,Wa P100 o tsaya 3 days.ke rekile ka Sunday o hedile ka  Wednesday,
638,Sharlie December,,10,,Lawa Bus Transport B 800 BLO thanks for your services go tsena ka motse wa Xhumo le kamoso.,Lawa Bus Transport B 800 BLO thanks for your services go tsena ka motse wa Xhumo le kamoso.
639,Le Wisha Tembwe,DrEric Kamabweis thee Best Dr in  Maun.diteng dingaka mo maun ka mefuta but ga gona ope yoo good like Him.His practice is by Fashion world building.I just wanna give him his flowers while he can still receive them.,32,14,Private or govt,Naean Moji - your doctor.
640,Ndu David,"Ke tsa nako e go leboga BTC shop ya Bodiba Mall ( Mogoditshane), ke leboga Kagiso, Wangu and security guy  o o neng a theogetsa , ba nthusitse ka pelo yo tlhe , lo dira tiro ka lorato le monyenyo. Tshwarang hela jalo le ka moso. Goodness of mercy be with all of you,...",13,5,Thank you for sharing. I’ll pass message on to my sister Wangu who’s not on Facebook.,Nnyaa Mme rra le nna I went there on Monday ke dule kwa ke le happy waitse ke gore ha ba go thusa o nna free tota .
641,Tha To,"let me applaudOrangetoday..bought electricity today morning,money was taken but no token received..i called their call center and was told that the money will be reversed in 3 working days,fortunately in the late afternoon my money was credited..KEA LEBOGA ORANGE",15,22,"Luck you   , nna ke santse ke emetse P100 wame, this is day 4",Ke kopa their number setse kena le p800 Koo 
642,March Queen,Orangeemisang bogodu please. I pay konnecta on 3rd every month & this month u cut me off today the 2nd. What is the issue coz if i subscribe at 18h00 today u cut me off 17h59 next month??,10,8,The 30 days are over,Used to complain abt the exact same thing with mascom....they told me to count 30 days ke bone gore o wela kae...
643,Nitha Mlambo,"PATMO bus. Today 2/8/24, I was so disappointed to discover this anomaly from your staff. I was told trip from Maun to GC is P305. I paid for my ticket during the day. Some minutes before departure I checked my ticket and found out it was written P300. I asked one staff member how much was it and he said the same price of P305. I asked the gentleman who wrote me a ticket why he wrote P300 while I paid P305. He took the ticket and cancelled P300 and wroteP305 and apologized for…See more",239,248,Maun - GC 305,As long as you have paid what is written on the receipt there is no fraud there. Ga gona yo utsuleng.
644,Boitumelo Israel,"Hello! I would like to name and praise Mr. Olebogeng Lentswe ofFSGLimitedBotswana. Believe me, I've never met this man but always, I get excellent service from himFSG golo fa le na le mmereki wa tlhwatlhwa, le mmabalele. And to those who know him, bathong le mphetisetse malebo",32,10,Babereki ba FSG Limited Botswana  ba lerato bothe weeee ijooo ,
645,Julia Chepete,Helo I would like to thank ShopRite Palapye erile ba utwa complaint yame the Manager RreTlax Manotwanecontacted me..ka kgona go exchange mashi Ka tsaa lactogen 3 gape ne ba mpega from Maunatlala to py...thank u very much team Palapye ShopRite le nkamogetse ka lorato,90,19,"Ke a go lebogisa nnaka, to yo ShopRite, modimo ke oo",Thanks
646,Amanda Dichabe,,7,3,Ba tshwanetse go mo compensate ba cover medical bill tseo,You are right ...
647,Mpho Marcia Morapedi,Bathong orange e re jela airtime.,3,12,"Re mo mathateng tlheng ka orange go re jela airtimeGatwe go na le selo gatwe mAgri  letse ke ba reetse ke re ba sutlhe golo mong ga bone cos a ke itse gr ba bua ka ga eng, ba njela airtime ka dilo tsa bone e bo ba unsubscribe golo ga teng",Lona le botoka ko orange Rona re kolotisiwa matshebetshebe a airtime ko mascom
648,Lerato Othusitse,I wish to celebrate excellent customer service by an officer at the offices of the Master of the High Court (Estates unit) by the name of Mosireletsi Mokalake. We had been in the queue to be served & it was time for the officers to break for lunch. He offered to serve all of us who had been in the queue before he went for lunch. Help me celebrate such commitment to making the customer SMILE.  May the Lord bless you abundantly.  Le kamoso rre Mokalake.,29,,,
649,Tlhalefo Phele,This formula was bought from two different shops why e sa tshwane,16,10,As long bar code is same its ok cheka yone,"Hee, ga kea kgaoga pelo, I once bought number 2,ele leswe hela mo teng"
650,Matt Matteo,"# MASCOM, For once l thought this KYC exercise being taken was for the best but it's turning to be a real hell.The level of incompetence um receiving from MASCOM is really depressing after running around doing their KYC'S still my mobile is off,loaded with airtime and money which l can't access.l don't want that Mascom line ,let me access my money only then um gone ,l have Orange and Bemobile will survive can't be hold hostage whilst l have been a loyal client nearly 20 years, nonsense",8,8,"And ke tenega sesha kaore ha ke tsene kwa ke  botsa gore why gotwe ke kyc non compliant despite doing the damn thing twice ba mpolella gore my omang expired which extended to my number, like what the hell? Ke dirile kyc months before o expire so la ren… See more","I thought it's only me, nna ebile ke e hlokomologile! Nka lapa"
651,Kesego Palesa Makholwa,"Orange Botswana Just a friendly advise (although pelo ele botlhoko, retlaareng) If you're are aware of a problem ka one of your services, notify your customers kabo sms yaana, ee jaaka le tlhola le dira kabo network problem,maintenance,promotions jalo jalo, please. Gone jaana kentse ke reka motlakase mo Orange money ka thebe ya bohelo through Ideal, hake letsa lare 'Oh yea re itemogetse gore Ideal gaentshe di token, emela madi go busiwa after 3 days,sorry'. Kana that means 3…See more",25,27,Le network yabone ke mathata nkile ka dira ewallet iyoo ka kiba 2 hours pin e sa sende ka dikologa ko station ka bo kaithoboga e tswa go tsena ke le ko lapeng pin yateng,Tota nna ga  ke thokomele bo orange ke bona batho balela every day  aaa
652,Kealeboga D. Smith,A huge shoutout to NMG Administrators for their exceptional services! Their top-notch messaging system keeps us updated and informed every step of the way. We appreciate your dedication and efficiency. Tsayang dilo tsa lona,29,10,"NMG ke bo mang,I received their message yesterday","La ntlha ke utlwa a positive feedback about NMG. It means they have "" heard"" their customers."
653,Mmagwe Raymond Bashimane Keith,"Anyone hu can help me with contacts for any washing machine technician ,,pity I lost receipt ya purchase jaanong ba Game francistown ba re they can't help since their system automatically deletes receipts after 3 mnths",14,36,"No such a thing, go back to the store",Ao a big department store like Game can't produce a re-print ya receipt for a customer 
654,Richard Harriman,,6,375,Please don't start with me on this topic Richard,
655,Tee Moo,"Pick n Pay Blue Jacket , we can’t be served by one person day in day out at your eatery. The minimum queueing time is 20 minutes or so .. this is uncalled for as we have things to do ..at least the least get a floor manager/supervisor etc ..also , take leave fromGalo - Pick n Pay, always seamless…!",10,5,Nna ke fa fela waitse ke boregile mo go maswe,
